"Project","Client","Description","Task","User","Email","Tags","Billable","Start Date","Start Time","End Date","End Time","Duration (h)","Duration (decimal)","Billable  Rate (CHF)","Billable Amount (CHF)"
"DBMS","","","","","","","","2020-05-17","09:11:59","2020-05-17","09:42:13","00:30:14","0.50","",""
"DBMS","","","","","","","","2020-05-17","08:01:36","2020-05-17","08:41:19","00:39:43","0.66","",""
"FIRE","","","","","","","","2020-05-13","16:50:33","2020-05-13","17:20:35","00:30:02","0.50","",""
"FIRE","","","","","","","","2020-05-13","14:25:26","2020-05-13","15:10:33","00:45:07","0.75","",""
"DBMS","","","","","","","","2020-05-12","09:42:36","2020-05-12","10:00:21","00:17:45","0.30","",""
"KOME","","","","","","","","2020-05-11","14:07:04","2020-05-11","14:54:13","00:47:09","0.79","",""
"DBMS","","","","","","","","2020-05-11","10:39:13","2020-05-11","11:18:46","00:39:33","0.66","",""
"DBMS","","","","","","","","2020-05-10","20:46:51","2020-05-10","21:15:44","00:28:53","0.48","",""
"KOME","","","","","","","","2020-05-10","14:01:45","2020-05-10","15:12:38","01:10:53","1.18","",""
"KOMM","","","","","","","","2020-05-09","21:20:57","2020-05-09","21:36:23","00:15:26","0.26","",""
"ENG","","","","","","","","2020-05-09","13:34:04","2020-05-09","14:47:00","01:12:56","1.22","",""
"WIAR","","","","","","","","2020-05-05","19:27:26","2020-05-05","20:49:47","01:22:21","1.37","",""
"WIAR","","","","","","","","2020-05-05","12:59:42","2020-05-05","14:57:32","01:57:50","1.96","",""
"WIAR","","","","","","","","2020-05-05","10:35:31","2020-05-05","11:51:39","01:16:08","1.27","",""
"DBMS","","","","","","","","2020-05-04","20:47:27","2020-05-04","21:08:27","00:21:00","0.35","",""
"WIAR","","","","","","","","2020-05-04","16:29:25","2020-05-04","17:32:31","01:03:06","1.05","",""
"ENG","","","","","","","","2020-05-04","14:32:11","2020-05-04","14:54:06","00:21:55","0.37","",""
"WIAR","","","","","","","","2020-05-03","16:06:54","2020-05-03","17:43:13","01:36:19","1.61","",""
"WIAR","","","","","","","","2020-05-03","14:03:18","2020-05-03","14:55:55","00:52:37","0.88","",""
"WIAR","","","","","","","","2020-05-03","11:18:29","2020-05-03","12:05:54","00:47:25","0.79","",""
"WIAR","","","","","","","","2020-05-02","14:01:00","2020-05-02","15:03:41","01:02:41","1.04","",""
"KOMM","","","","","","","","2020-04-29","11:25:43","2020-04-29","11:48:44","00:23:01","0.38","",""
"DBMS","","","","","","","","2020-04-28","21:25:17","2020-04-28","21:51:36","00:26:19","0.44","",""
"ENG","","","","","","","","2020-04-27","16:51:43","2020-04-27","17:11:01","00:19:18","0.32","",""
"STAT","","","","","","","","2020-04-27","14:59:02","2020-04-27","15:25:24","00:26:22","0.44","",""
"WIAR","","","","","","","","2020-04-27","14:35:09","2020-04-27","14:53:57","00:18:48","0.31","",""
"STAT","","","","","","","","2020-04-27","11:32:00","2020-04-27","11:43:00","00:11:00","0.18","",""
"WIAR","","","","","","","","2020-04-26","16:37:00","2020-04-26","17:20:00","00:43:00","0.72","",""
"WIAR","","","","","","","","2020-04-26","14:33:00","2020-04-26","15:40:00","01:07:00","1.12","",""
"WIAR","","","","","","","","2020-04-26","11:03:00","2020-04-26","12:08:00","01:05:00","1.08","",""
"WIAR","","","","","","","","2020-04-25","14:39:59","2020-04-25","15:29:44","00:49:45","0.83","",""
"DBMS","","","","","","","","2020-04-25","11:02:00","2020-04-25","12:15:00","01:13:00","1.22","",""
"WIAR","","","","","","","","2020-04-24","11:00:43","2020-04-24","12:06:09","01:05:26","1.09","",""
